1,Camiseta Basica,1099,Camiseta de algodon disponible en varios colores,50
2,Pantalones Deportivos,2599,Pantalones comodos para entrenamiento o uso casual,30
3,Zapatillas Running,4999,Zapatillas ligeras para correr largas distancias,20
4,Gorra Unisex,1599,Gorra ajustable de tela transpirable,40
5,Botella de Agua,999,Botella reutilizable de acero inoxidable,60
6,Mochila Escolar,2999,Mochila resistente con varios compartimentos,15
7,Reloj Digital,1999,Reloj con cronometro y luz LED,25
8,Auriculares Bluetooth,3999,Auriculares inalambricos con excelente sonido,18
9,Lampara de Escritorio,1499,Lampara LED ajustable para trabajo o estudio,20
10,Cargador Universal,1299,Cargador rapido compatible con varios dispositivos,35
11,Taza Personalizada,899,Taza de ceramica apta para microondas,50
12,Libreta de Notas,599,Libreta A5 con 100 hojas de papel reciclado,40
13,Boligrafos de Gel,499,Set de 10 boligrafos con tinta suave,30
14,Termo de Cafe,1599,Termo de acero inoxidable con capacidad de 500 ml,25
15,Silla Gaming,12999,Silla ergonomica con soporte lumbar ajustable,10
16,Mouse Gamer,2499,Mouse RGB con alta sensibilidad,25
17,Almohada Ergonomica,1899,Almohada de espuma viscoelastica para dormir,15
18,Cuadro Decorativo,3499,Cuadro de arte moderno para interiores,12
19,Camiseta con Estampado,1499,Camiseta personalizada con estampados unicos,30
20,Paraguas Compacto,999,Paraguas ligero y resistente al viento,50
